planet_num,orbit_length,planet_dist,planet_mass,planet_update,planet_name,planet_facility,planet_telescope,planet_instrument
2,4.7234,3.8,0.00371,2017-03-30,GJ 273 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,133.71,17.62,3.37,2014-05-14,GJ 3021 b,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph
3,1.22003,28.48,0.0056,2017-03-30,GJ 3138 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
3,5.974,28.48,0.01315,2017-03-30,GJ 3138 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
3,257.8,28.48,0.03304,2017-03-30,GJ 3138 d,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,692,15.1,2.5,2014-08-27,GJ 317 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,4100,20.03,2.3,2014-05-14,GJ 328 b,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
4,30.5987,15.77,0.07406,2017-03-30,GJ 3293 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
4,122.6196,15.77,0.06636,2017-03-30,GJ 3293 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
4,48.1345,15.77,0.02391,2017-03-30,GJ 3293 d,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
4,13.2543,15.77,0.01032,2017-03-30,GJ 3293 e,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
2,5.3636,5.32,0.00636,2017-03-30,GJ 3323 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
2,40.54,5.32,0.00727,2017-03-30,GJ 3323 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,14.207,,0.0208,2014-12-03,GJ 3341 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,3.3366487,25.2,0.043,2014-07-23,GJ 3470 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,2.64561,19.8,0.026,2014-08-21,GJ 3634 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
2,2.64977,17.79,0.00777,2016-07-28,GJ 3998 b,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph
2,13.74,17.79,0.0197,2016-07-28,GJ 3998 c,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph
1,7.3709,9.04,0.018,2014-05-14,GJ 433 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,2.64388312,10.23,0.07,2015-02-05,GJ 436 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,,17.95,4,2014-05-14,GJ 504 b,Subaru Telescope,8.2 m Subaru Telescope,HiCIAO Camera
1,8.7076,10.03,0.01686,2016-11-17,GJ 536 b,La Silla Observatory,null 3.6 m ESO Telescope,HARPS Spectrograph
3,5.3686,6.27,0.0497,2014-07-09,GJ 581 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
3,12.914,6.27,0.0173,2014-07-09,GJ 581 c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
3,3.149,6.27,0.0053,2014-07-09,GJ 581 e,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,598.3,10.32,0.328,2014-05-14,GJ 649 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
5,7.2004,6.8,0.018,2014-05-14,GJ 667 C b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
5,28.14,6.8,0.012,2014-05-14,GJ 667 C c,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
5,62.24,6.8,0.008,2014-05-14,GJ 667 C e,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
5,39.026,6.8,0.008,2014-05-14,GJ 667 C f,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
5,256.2,6.8,0.014,2014-05-14,GJ 667 C g,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,4.6938,4.54,0.035,2014-05-14,GJ 674 b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
4,1051.1,16.9,6.7,2016-09-29,GJ 676 A b,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
4,7337,16.9,6.8,2016-09-29,GJ 676 A c,Paranal Observatory,Very Large Telescope (Antu),FORS2
4,3.6005,16.9,0.014,2016-09-29,GJ 676 A d,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
4,35.39,16.9,0.025,2016-09-29,GJ 676 A e,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
1,38.14,4.53,0.058,2014-05-28,GJ 687 b,Lick Observatory,2.4 m Automated Planet Finder Telescope,Levy Spectrograph
2,3657,4.94,0.68,2014-06-25,GJ 832 b,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph
2,35.68,4.94,0.017,2014-06-25,GJ 832 c,Multiple Observatories,Multiple Telescopes,Multiple Instruments
1,1845,8.77,0.91,2014-08-27,GJ 849 b,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,15.76491,10.91,3.91,2014-05-14,GJ 86 b,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph
4,61.1166,4.7,2.2756,2014-08-27,GJ 876 b,Multiple Observatories,Multiple Telescopes,Multiple Instruments
4,30.0881,4.7,0.7142,2014-08-27,GJ 876 c,Multiple Observatories,Multiple Telescopes,Multiple Instruments
4,1.93778,4.7,0.021,2014-08-27,GJ 876 d,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
4,124.26,4.7,0.046,2014-08-27,GJ 876 e,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
1,,139,20,2014-05-14,GQ Lup b,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera
1,,145,16,2015-04-01,GSC 06214-00210 b,Palomar Observatory,5.1 m Hale Telescope,PHARO Camera
1,,48,11.3,2014-05-14,GU Psc b,Gemini Observatory,8.19 m Gemini South Telescope,GMOS Spectrograph
1,4.46529976,139,0.525,2015-09-10,HAT-P-1 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,4.8878162,38,0.081,2014-05-14,HAT-P-11 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.2130598,142.5,0.211,2014-05-14,HAT-P-12 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
2,2.91625,214,0.851,2014-10-15,HAT-P-13 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
2,446.27,214,14.28,2014-05-16,HAT-P-13 c,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,4.627669,205,2.232,2014-05-14,HAT-P-14 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,10.863502,190,1.946,2014-05-14,HAT-P-15 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,2.77596,235,4.193,2014-05-14,HAT-P-16 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
2,10.338523,90,0.534,2014-05-14,HAT-P-17 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
2,5584,90,3.4,2014-05-14,HAT-P-17 c,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,5.508023,166,0.197,2014-05-14,HAT-P-18 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,4.008778,215,0.292,2014-05-14,HAT-P-19 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,5.6334729,135.32,9.09,2014-05-14,HAT-P-2 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,2.875317,70,7.246,2014-05-14,HAT-P-20 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,4.124481,254,4.063,2014-05-14,HAT-P-21 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.21222,82,2.147,2014-05-14,HAT-P-22 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,1.21288287,393,2.07,2015-03-26,HAT-P-23 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.35524,396,0.685,2014-05-14,HAT-P-24 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.652836,297,0.567,2014-05-14,HAT-P-25 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,4.234516,134,0.059,2014-05-14,HAT-P-26 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.039577,204,0.62,2014-05-14,HAT-P-27 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.257215,395,0.626,2014-05-14,HAT-P-28 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,5.723186,322,0.778,2014-05-14,HAT-P-29 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,2.899736,138,0.591,2014-05-14,HAT-P-3 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,2.810595,193,0.711,2014-05-14,HAT-P-30 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,5.005425,354,2.171,2014-05-14,HAT-P-31 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,2.15000805,283,,2014-10-15,HAT-P-32 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.474474,387,0.762,2014-05-14,HAT-P-33 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,5.452654,257,3.328,2014-05-14,HAT-P-34 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.646706,535,1.054,2014-05-14,HAT-P-35 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,1.327347,317,1.832,2014-05-14,HAT-P-36 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,2.797436,411,1.169,2014-05-14,HAT-P-37 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,4.640382,249,0.267,2014-05-14,HAT-P-38 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.54387,642,0.599,2014-05-14,HAT-P-39 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.056536,314,0.671,2014-05-14,HAT-P-4 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,4.457243,501,0.615,2014-05-14,HAT-P-40 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,2.694047,344,0.8,2014-05-14,HAT-P-41 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,4.641878,447,1.044,2014-05-14,HAT-P-42 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
1,3.332687,542,0.662,2014-05-14,HAT-P-43 b,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
