planet_num,orbit_length,planet_dist,planet_mass,planet_update,planet_name,planet_facility,planet_telescope,planet_instrument
2,2.78815679,793,,2016-05-10,Kepler-1398 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,4.13827595,793,,2016-05-10,Kepler-1398 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,1.63865306,1256,,2016-05-10,Kepler-1399 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,6.790123,980,8.4,2014-05-14,Kepler-14 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,3.25427,,,2014-05-14,Kepler-140 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,91.353282,,,2014-05-14,Kepler-140 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,9.06689421,879,,2016-05-10,Kepler-1400 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,11.20066445,1242,,2016-05-10,Kepler-1401 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,2.03387914,681,,2016-05-10,Kepler-1402 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,5.19492202,1801,,2016-05-10,Kepler-1403 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,15.9314739,946,,2016-05-10,Kepler-1404 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,28.2274184,1605,,2016-05-10,Kepler-1405 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,11.62905828,587,,2016-05-10,Kepler-1406 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,20.0711504,1275,,2016-05-10,Kepler-1407 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,2.99793191,426,,2016-05-10,Kepler-1408 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,0.76486493,722,,2016-05-10,Kepler-1409 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,3.107675,,,2014-05-14,Kepler-141 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,7.010606,,,2014-05-14,Kepler-141 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,60.866168,367,,2016-05-10,Kepler-1410 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,86.1150888,1431,,2016-05-10,Kepler-1411 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,3.6146051,639,,2016-05-10,Kepler-1412 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,13.1829642,1162,,2016-05-10,Kepler-1413 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,3.51576315,534,,2016-05-10,Kepler-1414 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,0.63642408,1066,,2016-05-10,Kepler-1415 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,1.49514952,807,,2016-05-10,Kepler-1416 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,20.3505213,656,,2016-05-10,Kepler-1417 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,22.4764425,499,,2016-05-10,Kepler-1418 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,42.5215895,1444,,2016-05-10,Kepler-1419 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
3,2.024152,,,2014-05-14,Kepler-142 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
3,4.761702,,,2014-05-14,Kepler-142 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
3,41.809118,,,2014-05-14,Kepler-142 d,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,6.69960006,923,,2016-05-10,Kepler-1420 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,6.9131112,675,,2016-05-10,Kepler-1421 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,18.6051942,2081,,2016-05-10,Kepler-1422 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,23.955378,449,,2016-05-10,Kepler-1423 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,29.6091744,620,,2016-05-10,Kepler-1424 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,14.4541302,499,,2016-05-10,Kepler-1425 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,14.2563227,1211,,2016-05-10,Kepler-1426 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,0.96897238,1220,,2016-05-10,Kepler-1427 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,10.67607169,802,,2016-05-10,Kepler-1428 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,4.48487493,1156,,2016-05-10,Kepler-1429 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,16.007583,,,2014-05-14,Kepler-143 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,27.082511,,,2014-05-14,Kepler-143 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,2.46050993,541,,2016-05-10,Kepler-1430 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,5.86601526,1270,,2016-05-10,Kepler-1431 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,23.9109011,1552,,2016-05-10,Kepler-1432 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,4.13592271,1328,,2016-05-10,Kepler-1433 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,8.05333618,680,,2016-05-10,Kepler-1434 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,4.45343281,681,,2016-05-10,Kepler-1435 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,9.705716,1142,,2016-05-10,Kepler-1436 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,10.9295461,1182,,2016-05-10,Kepler-1437 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,2.31942009,866,,2016-05-10,Kepler-1438 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,8.07392849,215,,2016-05-10,Kepler-1439 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,5.885273,,,2014-05-14,Kepler-144 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,10.104665,,,2014-05-14,Kepler-144 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,39.859484,685,,2016-05-10,Kepler-1440 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,39.4419839,751,,2016-05-10,Kepler-1441 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,81.4162941,525,,2016-05-10,Kepler-1442 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,2.41811321,475,,2016-05-10,Kepler-1443 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,33.42035034,340,,2016-05-10,Kepler-1444 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,10.60052251,482,,2016-05-10,Kepler-1445 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,0.68996783,162,,2016-05-10,Kepler-1446 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,56.6747285,871,,2016-05-10,Kepler-1447 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,12.27065865,786,,2016-05-10,Kepler-1448 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,13.2274528,1321,,2016-05-10,Kepler-1449 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,22.951,,0.117,2014-05-14,Kepler-145 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,42.882,,0.25,2014-05-14,Kepler-145 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,54.5094166,490,,2016-05-10,Kepler-1450 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,35.622233,1159,,2016-05-10,Kepler-1451 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,42.913751,974,,2016-05-10,Kepler-1452 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,47.1611696,1284,,2016-05-10,Kepler-1453 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,47.0319479,795,,2016-05-10,Kepler-1454 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,49.276764,392,,2016-05-10,Kepler-1455 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,18.1373829,379,,2016-05-10,Kepler-1456 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,51.1110243,728,,2016-05-10,Kepler-1457 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,47.9872764,642,,2016-05-10,Kepler-1458 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,62.8691611,435,,2016-05-10,Kepler-1459 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,31.158799,,,2014-05-14,Kepler-146 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,76.732171,,,2014-05-14,Kepler-146 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,29.9633247,574,,2016-05-10,Kepler-1460 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,29.3494775,752,,2016-05-10,Kepler-1461 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,65.6488341,1368,,2016-05-10,Kepler-1462 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,25.15864,1341,,2016-05-10,Kepler-1463 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,31.7785901,692,,2016-05-10,Kepler-1464 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,5.32786292,692,,2016-05-10,Kepler-1464 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,31.8277111,350,,2016-05-10,Kepler-1465 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,31.1750448,686,,2016-05-10,Kepler-1466 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,47.0569043,890,,2016-05-10,Kepler-1467 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,8.23984869,1130,,2016-05-10,Kepler-1468 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,3.54553021,1130,,2016-05-10,Kepler-1468 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,21.8635301,1255,,2016-05-10,Kepler-1469 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,12.610584,,,2014-05-14,Kepler-147 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,33.416423,,,2014-05-14,Kepler-147 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,16.2950903,569,,2016-05-10,Kepler-1470 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,3.63899398,1059,,2016-05-10,Kepler-1471 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,38.1312831,1269,,2016-05-10,Kepler-1472 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,14.4273551,625,,2016-05-10,Kepler-1473 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,36.4333452,1214,,2016-05-10,Kepler-1474 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,82.177374,1714,,2016-05-10,Kepler-1475 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,10.35863224,1218,,2016-05-10,Kepler-1476 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,11.55530021,525,,2016-05-10,Kepler-1477 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,26.0840594,1405,,2016-05-10,Kepler-1478 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,14.53261362,619,,2016-05-10,Kepler-1479 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
3,1.729366,,,2014-05-14,Kepler-148 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
3,4.180043,,,2014-05-14,Kepler-148 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
3,51.84688575,,,2016-05-10,Kepler-148 d,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,22.12679948,540,,2016-05-10,Kepler-1480 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,5.94220998,493,,2016-05-10,Kepler-1481 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,12.25383217,442,,2016-05-10,Kepler-1482 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,9.5085156,1327,,2016-05-10,Kepler-1483 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,30.4549136,1095,,2016-05-10,Kepler-1484 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,19.9157725,550,,2016-05-10,Kepler-1485 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,54.6495759,1465,,2016-05-10,Kepler-1486 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,7.31946363,1094,,2016-05-10,Kepler-1487 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,39.8189932,618,,2016-05-10,Kepler-1488 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,82.294751,870,,2016-05-10,Kepler-1489 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
3,29.198943,,,2014-05-14,Kepler-149 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
3,55.328328,,,2014-05-14,Kepler-149 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
3,160.018032,,,2014-05-14,Kepler-149 d,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,92.4362973,968,,2016-05-10,Kepler-1490 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,16.5861762,1312,,2016-05-10,Kepler-1491 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,16.75255007,371,,2016-05-10,Kepler-1492 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,15.0217983,572,,2016-05-10,Kepler-1493 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,91.080482,1059,,2016-05-10,Kepler-1494 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,85.273256,1307,,2016-05-10,Kepler-1495 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,64.6588017,1293,,2016-05-10,Kepler-1496 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,8.74199772,1122,,2016-05-10,Kepler-1497 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,48.051405,740,,2016-05-10,Kepler-1498 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,44.2008,310,,2016-05-10,Kepler-1499 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,4.942782,,0.66,2014-05-14,Kepler-15 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
5,3.428054,927,,2014-05-14,Kepler-150 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
5,7.381998,927,,2014-05-14,Kepler-150 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
5,12.56093,927,,2014-05-14,Kepler-150 d,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
5,30.826557,927,,2014-05-14,Kepler-150 e,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
5,637.2093,927,,2017-04-13,Kepler-150 f,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,15.0330105,904,,2016-05-10,Kepler-1500 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,14.5564533,888,,2016-05-10,Kepler-1501 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,41.7083629,1540,,2016-05-10,Kepler-1502 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,96.16987,850,,2016-05-10,Kepler-1503 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,82.304003,1029,,2016-05-10,Kepler-1504 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,30.8609366,359,,2016-05-10,Kepler-1505 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,14.0329154,1318,,2016-05-10,Kepler-1506 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,16.0506213,342,,2016-05-10,Kepler-1507 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,20.7056504,892,,2016-05-10,Kepler-1508 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,25.4338197,1277,,2016-05-10,Kepler-1509 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,15.228958,,,2014-05-14,Kepler-151 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,24.674612,,,2014-05-14,Kepler-151 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,84.703921,1615,,2016-05-10,Kepler-1510 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,23.2382792,897,,2016-05-10,Kepler-1511 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,20.35972599,162,,2016-05-10,Kepler-1512 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,160.88465087,384,,2016-05-10,Kepler-1513 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,217.8317626,379,,2016-05-10,Kepler-1514 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,214.3114164,504,,2016-05-10,Kepler-1515 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,7.25931979,872,,2016-05-10,Kepler-1516 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,5.54608367,869,,2016-05-10,Kepler-1517 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,5.11177904,1140,,2016-05-10,Kepler-1518 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,240.7989397,858,,2016-05-10,Kepler-1519 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,18.207973,,,2014-05-14,Kepler-152 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,88.255055,,,2014-05-14,Kepler-152 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,0.65355357,636,,2016-05-10,Kepler-1520 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,47.14840805,227,,2016-05-10,Kepler-1521 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,1.84788917,690,,2016-05-10,Kepler-1522 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,0.93875077,918,,2016-05-10,Kepler-1523 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,70.9674603,506,,2016-05-10,Kepler-1524 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,2.41660118,396,,2016-05-10,Kepler-1525 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,3.908632,576,,2016-05-10,Kepler-1526 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,160.129918,1560,,2016-05-10,Kepler-1527 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,1.79111021,916,,2016-05-10,Kepler-1528 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,5.33905686,683,,2016-05-10,Kepler-1529 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,18.870227,,,2014-05-14,Kepler-153 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,46.90232,,,2014-05-14,Kepler-153 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,2.5904434,552,,2016-05-10,Kepler-1530 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,5.3227406,552,,2016-05-10,Kepler-1530 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,1.13854338,670,,2016-05-10,Kepler-1531 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,1.09366356,824,,2016-05-10,Kepler-1532 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,308.5471,852,,2016-05-10,Kepler-1533 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,5.71668872,1107,,2016-05-10,Kepler-1534 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,138.9442,879,,2016-05-10,Kepler-1535 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,364.758031,401,,2016-05-10,Kepler-1536 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,1.4444538,503,,2016-05-10,Kepler-1537 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,175.138819,1291,,2016-05-10,Kepler-1538 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,133.3036741,788,,2016-05-10,Kepler-1539 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
5,33.040532,,,2014-05-14,Kepler-154 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
5,62.303276,,,2014-05-14,Kepler-154 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
5,20.54981883,,,2016-05-10,Kepler-154 d,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
5,3.93276465,,,2016-05-10,Kepler-154 e,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
5,9.91935684,,,2016-05-10,Kepler-154 f,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,125.4131177,262,,2016-05-10,Kepler-1540 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,8.40691199,414,,2016-05-10,Kepler-1541 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
4,3.95116882,336,,2016-05-10,Kepler-1542 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
4,2.89223021,336,,2016-05-10,Kepler-1542 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
4,5.99273738,336,,2016-05-10,Kepler-1542 d,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
4,5.10115756,336,,2016-05-10,Kepler-1542 e,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,6.96710269,1114,,2016-05-10,Kepler-1543 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,168.811174,349,,2016-05-10,Kepler-1544 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,163.692349,688,,2016-05-10,Kepler-1545 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,19.5974971,994,,2016-05-10,Kepler-1546 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,0.69297968,665,,2016-05-10,Kepler-1547 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,124.828679,1150,,2016-05-10,Kepler-1548 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,214.886545,792,,2016-05-10,Kepler-1549 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,5.931194,,,2014-05-14,Kepler-155 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,52.661793,,,2014-05-14,Kepler-155 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,225.582809,1202,,2016-05-10,Kepler-1550 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,24.4973698,1560,,2016-05-10,Kepler-1551 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,184.771853,618,,2016-05-10,Kepler-1552 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,4.24261881,719,,2016-05-10,Kepler-1553 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,198.088774,982,,2016-05-10,Kepler-1554 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,8.10501635,1382,,2016-05-10,Kepler-1555 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,8.82713457,1060,,2016-05-10,Kepler-1556 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,3.74032496,1532,,2016-05-10,Kepler-1557 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,3.50470358,343,,2016-05-10,Kepler-1558 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,0.97191543,580,,2016-05-10,Kepler-1559 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,4.973456,,,2014-05-14,Kepler-156 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,15.906801,,,2014-05-14,Kepler-156 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,3.03195744,529,,2016-05-10,Kepler-1560 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,1.00520701,993,,2016-05-10,Kepler-1561 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,64.2737752,1315,,2016-05-10,Kepler-1562 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,3.43276598,547,,2016-05-10,Kepler-1563 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,18.0540381,872,,2016-05-10,Kepler-1564 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,1.53818844,657,,2016-05-10,Kepler-1565 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,0.53991524,511,,2016-05-10,Kepler-1566 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,153.979578,1226,,2016-05-10,Kepler-1567 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,20.925392,883,,2016-05-10,Kepler-1568 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,5.79180156,1050,,2016-05-10,Kepler-1569 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
3,1.732342,,,2014-05-14,Kepler-157 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
3,13.5405,,,2014-05-14,Kepler-157 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
3,7.02573474,,,2016-05-10,Kepler-157 d,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,26.548955,463,,2016-05-10,Kepler-1570 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,3.38555488,802,,2016-05-10,Kepler-1571 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,5.49548621,600,,2016-05-10,Kepler-1572 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,2.6157554,1180,,2016-05-10,Kepler-1573 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,6.9424334,1275,,2016-05-10,Kepler-1574 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,2.55314213,1170,,2016-05-10,Kepler-1575 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,6.98471973,539,,2016-05-10,Kepler-1576 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,6.30560247,543,,2016-05-10,Kepler-1577 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,1.45088691,1016,,2016-05-10,Kepler-1578 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,0.84990789,466,,2016-05-10,Kepler-1579 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,16.709184,,,2014-05-14,Kepler-158 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
2,28.551383,,,2014-05-14,Kepler-158 c,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,56.6449279,872,,2016-05-10,Kepler-1580 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,6.28385491,443,,2016-05-10,Kepler-1581 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,4.83817712,112,,2016-05-10,Kepler-1582 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,9.32807355,357,,2016-05-10,Kepler-1583 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,13.3997099,1325,,2016-05-10,Kepler-1584 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,3.5827463,1269,,2016-05-10,Kepler-1585 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
1,15.6049212,864,,2016-05-10,Kepler-1586 b,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
